at-risk kokkos classes: 205
unguarded freeing dtors in their chains: 96
AngleCharmm                    src/MOLECULE/angle_charmm.cpp                           47 mentions=True  wrapped=True  n=1 ['AngleCharmmKokkos']
AngleCharmmKokkos              src/KOKKOS/angle_charmm_kokkos.cpp                      54 mentions=True  wrapped=True  n=1 ['AngleCharmmKokkos']
AngleClass2Kokkos              src/KOKKOS/angle_class2_kokkos.cpp                      54 mentions=True  wrapped=True  n=1 ['AngleClass2Kokkos']
AngleClass2P6Kokkos            src/KOKKOS/angle_class2_p6_kokkos.cpp                   54 mentions=True  wrapped=True  n=1 ['AngleClass2P6Kokkos']
AngleClass2xeKokkos            src/KOKKOS/angle_class2xe_kokkos.cpp                    54 mentions=True  wrapped=True  n=1 ['AngleClass2xeKokkos']
AngleCosine                    src/MOLECULE/angle_cosine.cpp                           40 mentions=True  wrapped=True  n=1 ['AngleCosineKokkos']
AngleCosineDeltaKokkos         src/KOKKOS/angle_cosine_delta_kokkos.cpp                54 mentions=True  wrapped=True  n=1 ['AngleCosineDeltaKokkos']
AngleCosineKokkos              src/KOKKOS/angle_cosine_kokkos.cpp                      52 mentions=True  wrapped=True  n=1 ['AngleCosineKokkos']
AngleCosinePeriodicKokkos      src/KOKKOS/angle_cosine_periodic_kokkos.cpp             52 mentions=True  wrapped=True  n=1 ['AngleCosinePeriodicKokkos']
AngleCosineShiftExpKokkos      src/KOKKOS/angle_cosine_shift_exp_kokkos.cpp            52 mentions=True  wrapped=True  n=1 ['AngleCosineShiftExpKokkos']
AngleCosineShiftKokkos         src/KOKKOS/angle_cosine_shift_kokkos.cpp                54 mentions=True  wrapped=True  n=1 ['AngleCosineShiftKokkos']
AngleCosineSquaredKokkos       src/KOKKOS/angle_cosine_squared_kokkos.cpp              52 mentions=True  wrapped=True  n=1 ['AngleCosineSquaredKokkos']
AngleCosineSquaredRestrictedKokkos src/KOKKOS/angle_cosine_squared_restricted_kokkos.cpp    52 mentions=True  wrapped=True  n=1 ['AngleCosineSquaredRestrictedKokkos']
AngleCrossKokkos               src/KOKKOS/angle_cross_kokkos.cpp                       50 mentions=True  wrapped=True  n=1 ['AngleCrossKokkos']
AngleDipoleKokkos              src/KOKKOS/angle_dipole_kokkos.cpp                      51 mentions=True  wrapped=True  n=1 ['AngleDipoleKokkos']
AngleFourierKokkos             src/KOKKOS/angle_fourier_kokkos.cpp                     48 mentions=True  wrapped=True  n=1 ['AngleFourierKokkos']
AngleFourierSimpleKokkos       src/KOKKOS/angle_fourier_simple_kokkos.cpp              50 mentions=True  wrapped=True  n=1 ['AngleFourierSimpleKokkos']
AngleGaussianKokkos            src/KOKKOS/angle_gaussian_kokkos.cpp                    52 mentions=True  wrapped=True  n=1 ['AngleGaussianKokkos']
AngleHarmonic                  src/MOLECULE/angle_harmonic.cpp                         43 mentions=True  wrapped=True  n=1 ['AngleHarmonicKokkos']
AngleHarmonicKokkos            src/KOKKOS/angle_harmonic_kokkos.cpp                    54 mentions=True  wrapped=True  n=1 ['AngleHarmonicKokkos']
AngleMM3Kokkos                 src/KOKKOS/angle_mm3_kokkos.cpp                         54 mentions=True  wrapped=True  n=1 ['AngleMM3Kokkos']
AngleMWLCKokkos                src/KOKKOS/angle_mwlc_kokkos.cpp                        48 mentions=True  wrapped=True  n=1 ['AngleMWLCKokkos']
AngleQuarticKokkos             src/KOKKOS/angle_quartic_kokkos.cpp                     50 mentions=True  wrapped=True  n=1 ['AngleQuarticKokkos']
AngleSPICA                     src/CG-SPICA/angle_spica.cpp                            56 mentions=True  wrapped=True  n=1 ['AngleSPICAKokkos']
AngleSPICAKokkos               src/KOKKOS/angle_spica_kokkos.cpp                       59 mentions=True  wrapped=True  n=1 ['AngleSPICAKokkos']
AngleTableKokkos               src/KOKKOS/angle_table_kokkos.cpp                       55 mentions=True  wrapped=True  n=1 ['AngleTableKokkos']
BondClass2Kokkos               src/KOKKOS/bond_class2_kokkos.cpp                       52 mentions=True  wrapped=True  n=1 ['BondClass2Kokkos']
BondFENE                       src/MOLECULE/bond_fene.cpp                              41 mentions=True  wrapped=True  n=2 ['BondFENEKokkos', 'BondFENENMKokkos']
BondFENEExpandKokkos           src/KOKKOS/bond_fene_expand_kokkos.cpp                  56 mentions=True  wrapped=True  n=1 ['BondFENEExpandKokkos']
BondFENEKokkos                 src/KOKKOS/bond_fene_kokkos.cpp                         58 mentions=True  wrapped=True  n=1 ['BondFENEKokkos']
BondFENENM                     src/EXTRA-MOLECULE/bond_fene_nm.cpp                     38 mentions=True  wrapped=True  n=1 ['BondFENENMKokkos']
BondFENENMKokkos               src/KOKKOS/bond_fene_nm_kokkos.cpp                      53 mentions=True  wrapped=True  n=1 ['BondFENENMKokkos']
BondGaussian                   src/EXTRA-MOLECULE/bond_gaussian.cpp                    43 mentions=True  wrapped=True  n=1 ['BondGaussianKokkos']
BondGaussianKokkos             src/KOKKOS/bond_gaussian_kokkos.cpp                     53 mentions=True  wrapped=True  n=1 ['BondGaussianKokkos']
BondGromos                     src/MOLECULE/bond_gromos.cpp                            41 mentions=True  wrapped=True  n=1 ['BondGromosKokkos']
BondGromosKokkos               src/KOKKOS/bond_gromos_kokkos.cpp                       46 mentions=True  wrapped=True  n=1 ['BondGromosKokkos']
BondHarmonic                   src/MOLECULE/bond_harmonic.cpp                          36 mentions=True  wrapped=True  n=1 ['BondHarmonicKokkos']
BondHarmonicKokkos             src/KOKKOS/bond_harmonic_kokkos.cpp                     52 mentions=True  wrapped=True  n=1 ['BondHarmonicKokkos']
BondHarmonicRestrainKokkos     src/KOKKOS/bond_harmonic_restrain_kokkos.cpp            51 mentions=True  wrapped=True  n=1 ['BondHarmonicRestrainKokkos']
BondHarmonicShiftCutKokkos     src/KOKKOS/bond_harmonic_shift_cut_kokkos.cpp           49 mentions=True  wrapped=True  n=1 ['BondHarmonicShiftCutKokkos']
BondHarmonicShiftKokkos        src/KOKKOS/bond_harmonic_shift_kokkos.cpp               49 mentions=True  wrapped=True  n=1 ['BondHarmonicShiftKokkos']
BondMM3Kokkos                  src/KOKKOS/bond_mm3_kokkos.cpp                          48 mentions=True  wrapped=True  n=1 ['BondMM3Kokkos']
BondMorseKokkos                src/KOKKOS/bond_morse_kokkos.cpp                        49 mentions=True  wrapped=True  n=1 ['BondMorseKokkos']
BondNonlinearKokkos            src/KOKKOS/bond_nonlinear_kokkos.cpp                    49 mentions=True  wrapped=True  n=1 ['BondNonlinearKokkos']
